iter	Passed	Remaining
181	475	2139
182	477	2130
183	478	2122
184	479	2114
185	481	2106
186	482	2098
187	483	2090
188	485	2083
189	486	2076
190	488	2068
191	489	2060
192	491	2053
193	492	2045
194	493	2037
195	494	2030
196	496	2022
197	497	2015
198	498	2007
199	500	2000
200	501	1994
201	503	1987
202	504	1980
203	505	1973
204	507	1966
205	508	1959
206	509	1952
207	511	1945
208	512	1938
209	513	1932
210	515	1927
211	517	1922
212	519	1917
213	520	1912
214	522	1907
215	523	1901
216	525	1894
217	526	1888
218	527	1882
219	529	1877
220	531	1872
221	532	1866
222	533	1860
223	535	1855
224	536	1849
225	538	1843
226	539	1837
227	540	1830
228	541	1824
229	543	1820
230	545	1815
231	547	1811
232	548	1805
233	549	1799
234	551	1794
235	553	1790
236	554	1786
237	556	1780
238	557	1774
239	558	1769
240	560	1764
241	561	1759
242	563	1754
243	564	1748
244	565	1743
245	567	1738
246	568	1733
247	569	1728
248	571	1722
249	572	1717
250	573	1712
251	575	1707
252	576	1702
253	578	1697
254	579	1692
255	580	1687
256	582	1685
257	584	1680
258	585	1675
259	587	1671
260	588	1667
261	590	1663
262	592	1658
263	593	1654
264	594	1650
265	596	1645
266	597	1640
267	599	1636
268	600	1633
269	602	1629
270	604	1625
271	605	1621
272	607	1616
273	608	1612
274	609	1607
275	611	1603
276	612	1599
277	614	1595
278	615	1590
279	617	1587
280	618	1583
281	620	1579
282	621	1574
283	622	1570
284	624	1565
285	625	1561
286	626	1557
287	628	1553
288	629	1549
289	631	1545
290	632	1541
291	634	1537
292	635	1533
293	636	1529
294	638	1525
295	639	1521
296	640	1517
297	642	1513
298	644	1510
299	645	1506
300	647	1502
301	648	1499
302	650	1495
303	651	1491
304	653	1488
305	654	1484
306	655	1480
307	657	1476
308	658	1473
309	660	1469
310	661	1465
311	662	1461
312	664	1459
313	666	1455
314	667	1451
315	668	1447
316	670	1443
317	671	1440
318	672	1436
319	674	1432
320	675	1428
321	677	1425
322	678	1422
323	680	1419
324	682	1416
325	683	1413
326	684	1409
327	686	1405
328	687	1402
329	688	1398
330	690	1395
331	692	1392
332	693	1388
333	694	1385
334	696	1381
335	697	1378
336	698	1374
337	700	1371
338	701	1368
339	703	1364
340	704	1361
341	706	1358
342	707	1355
343	709	1352
344	710	1349
345	712	1345
346	713	1342
347	714	1339
348	715	1335
349	717	1331
350	718	1329
351	720	1326
352	721	1322
353	723	1319
354	724	1316
355	726	1313
356	728	1311
357	729	1308
358	730	1305
359	732	1302
360	733	1298
361	735	1296
362	737	1293
363	738	1290
364	740	1287
365	741	1284
366	743	1281
367	744	1278
368	746	1275
369	747	1272
370	748	1269
371	750	1266
372	752	1264
373	754	1262
374	755	1259
375	756	1256
376	758	1252
377	759	1249
378	760	1246
379	762	1244
380	764	1242
381	766	1240
382	768	1237
383	770	1235
384	772	1233
385	774	1231
386	775	1228
387	777	1226
388	780	1225
389	782	1223
390	784	1221
391	786	1219
392	787	1217
393	789	1214
394	791	1212
395	793	1210
396	795	1208
397	797	1206
398	799	1204
399	801	1201
400	803	1199
401	805	1197
402	807	1196
403	809	1194
404	811	1192
405	814	1191
406	815	1188
407	817	1186
408	819	1184
409	821	1182
410	823	1180
411	825	1178
412	827	1175
413	828	1172
414	830	1170
415	831	1167
416	833	1164
417	834	1161
418	836	1160
419	838	1157
420	840	1155
421	841	1152
422	843	1150
423	844	1147
424	846	1145
425	847	1142
426	849	1139
427	851	1137
428	853	1135
429	854	1132
430	855	1130
431	857	1127
432	858	1124
433	860	1121
434	861	1119
435	862	1116
436	864	1113
437	866	1111
438	867	1108
439	869	1106
440	870	1103
441	872	1101
442	874	1098
443	875	1096
444	876	1093
445	878	1090
446	879	1088
447	881	1085
448	882	1083
449	884	1080
450	885	1078
451	887	1075
452	888	1072
453	889	1070
454	891	1067
